gz_fuel_tools-ci-ign-fuel-tools7-homebrew-arm64,0.7
gz_fuel_tools-ci-ign-fuel-tools7-jammy-amd64,0.8
gz_fuel_tools-ci-main-homebrew-amd64,0.9
gz_fuel_tools-ci-main-homebrew-arm64,0.9
gz_fuel_tools-ci-main-noble-amd64,1.0
gz_fuel_tools-ign-fuel-tools7-clwin,0.7
gz_fuel_tools-main-cnlwin,0.9
gz_gui-10-cnlwin,0.85
gz_gui-8-clowin,0.75
gz_gui-9-clowin,0.8
gz_gui-ci-gz-gui10-homebrew-amd64,0.85
gz_gui-ci-gz-gui10-homebrew-arm64,0.85
gz_gui-ci-gz-gui10-noble-amd64,0.95
gz_gui-ci-gz-gui8-homebrew-amd64,0.75
gz_gui-ci-gz-gui8-homebrew-arm64,0.75
gz_gui-ci-gz-gui8-jammy-amd64,0.85
gz_gui-ci-gz-gui8-noble-amd64,0.85
gz_gui-ci-gz-gui9-homebrew-amd64,0.8
gz_gui-ci-gz-gui9-homebrew-arm64,0.8
gz_gui-ci-gz-gui9-noble-amd64,0.9
gz_gui-ci-ign-gui6-homebrew-amd64,0.7
gz_gui-ci-ign-gui6-homebrew-arm64,0.7
gz_gui-ci-ign-gui6-jammy-amd64,0.8
gz_gui-ci-main-homebrew-amd64,0.9
gz_gui-ci-main-homebrew-arm64,0.9
gz_gui-ci-main-noble-amd64,1.0
gz_gui-ign-gui6-clwin,0.7
gz_gui-main-cnlwin,0.9
gz_launch-7-clowin,0.75
gz_launch-8-clowin,0.8
gz_launch-9-cnlwin,0.85
gz_launch-ci-gz-launch7-homebrew-amd64,0.75
gz_launch-ci-gz-launch7-homebrew-arm64,0.75
gz_launch-ci-gz-launch7-jammy-amd64,0.85
gz_launch-ci-gz-launch7-noble-amd64,0.85
gz_launch-ci-gz-launch8-homebrew-amd64,0.8
gz_launch-ci-gz-launch8-homebrew-arm64,0.8
gz_launch-ci-gz-launch8-noble-amd64,0.9
gz_launch-ci-gz-launch9-homebrew-amd64,0.85
gz_launch-ci-gz-launch9-homebrew-arm64,0.85
gz_launch-ci-gz-launch9-noble-amd64,0.95
gz_launch-ci-ign-launch5-homebrew-amd64,0.7
gz_launch-ci-ign-launch5-homebrew-arm64,0.7
gz_launch-ci-ign-launch5-jammy-amd64,0.8
gz_launch-ci-main-homebrew-amd64,0.9
gz_launch-ci-main-homebrew-arm64,0.9
gz_launch-ci-main-noble-amd64,1.0
gz_launch-ign-launch5-clwin,0.7
gz_launch-main-cnlwin,0.9
gz_math-7-clowin,0.75
gz_math-8-clowin,0.8
gz_math-9-cnlwin,0.85
gz_math-ci-gz-math7-homebrew-amd64,0.75
